x,vx,ax,y,vy,ay,z,vz,az
0.0000,274.3200,-2.8690,0.0000,0.0000,-0.1547,1219.2000,0.0000,2.4687
9.1424,274.2244,-2.8495,-0.0001,-0.0052,-0.1350,1219.2010,0.0823,5.1333
18.2816,274.1300,-2.7435,-0.0003,-0.0090,0.0802,1219.2075,0.3422,11.2796
27.4178,274.0415,-2.5869,-0.0005,0.0002,0.6127,1219.2264,0.8343,18.5134
36.5511,273.9576,-2.5349,-0.0001,0.0318,1.4095,1219.2659,1.5764,25.9153
45.6816,273.8725,-2.6931,0.0019,0.0942,2.4268,1219.3342,2.5620,32.8694
54.8092,273.7780,-3.0650,0.0066,0.1936,3.6070,1219.4391,3.7677,38.9912
63.9333,273.6681,-3.5993,0.0153,0.3346,4.8880,1219.5875,5.1614,44.0849
73.0535,273.5381,-4.2460,0.0294,0.5195,6.2102,1219.7849,6.7067,48.0917
82.1690,273.3851,-4.9499,0.0504,0.7486,7.5254,1220.0359,8.3675,51.0487
91.2789,273.2081,-5.6609,0.0798,1.0212,8.7976,1220.3437,10.1100,53.0564
100.3826,273.0077,-6.3393,0.1190,1.3351,10.0016,1220.7105,11.9046,54.2437
109.4792,272.7855,-6.9587,0.1693,1.6880,11.1242,1221.1376,13.7262,54.7512
118.5680,272.5438,-7.5047,0.2319,2.0768,12.1608,1221.6256,15.5546,54.7194
127.6486,272.2852,-7.9727,0.3081,2.4987,13.1129,1222.1745,17.3742,54.2766
136.7202,272.0122,-8.3663,0.3988,2.9510,13.9865,1222.7837,19.1731,53.5364
145.7826,271.7274,-8.6932,0.5051,3.4311,14.7918,1223.4524,20.9433,52.5982
154.8353,271.4327,-8.9640,0.6279,3.9371,15.5399,1224.1795,22.6796,51.5426
163.8780,271.1298,-9.1908,0.7679,4.4671,16.2419,1224.9639,24.3794,50.4342
172.9105,270.8200,-9.3850,0.9259,5.0199,16.9094,1225.8044,26.0419,49.3246
181.9326,270.5041,-9.5572,1.1028,5.5944,17.5525,1226.6996,27.6677,48.2506
190.9441,270.1828,-9.7167,1.2991,6.1900,18.1800,1227.6485,29.2586,47.2385
199.9447,269.8564,-9.8712,1.5157,6.8064,18.7991,1228.6498,30.8170,46.3052
208.9344,269.5248,-10.0265,1.7531,7.4433,19.4155,1229.7026,32.3456,45.4590
217.9130,269.1879,-10.1872,2.0121,8.1008,20.0329,1230.8059,33.8476,44.7029
226.8802,268.8456,-10.3562,2.2934,8.7788,20.6536,1231.9589,35.3258,44.0339
235.8360,268.4975,-10.5355,2.5976,9.4777,21.2788,1233.1608,36.7832,43.4466
